text,corrected
"Besides,I find those talking about building massive structures and science interesting and I learnt some knowledge from those programs.","Besides, I find those programs talking about building massive structures and science interesting"
Or maybe she wants smt else?,Or maybe she wants something else?
Everything came us a surprise and you didn't expect that this or that action is just taking place.,Everything came us a surprise and you didn't expect that this or that action would   take place.
The same goes to me.,The same goes for me.
Fossil resources are about to run out.,Fossil resources are about to run out.
"The fastest option to go on holidays

My favourite way to travel is by plane because you are quickly in another country.","The fastest option for going on holidays

My favourite way to travel is by plane because you are quickly in another country."
My job was to find the company’s financial statement that is corresponding to the news report.,My job was to find the company’s financial statement that corresponded to a news report.
"Beacuse, what is proper in living when journalist following every step the famous person takes?","Because, what is   in living when journalists are following every step the famous person takes?"
"Hi Julie,
thank you for your present.","Hi Julie,
thank you for your present."
"As you will see from my enclosed CV, I have worked the last three years as a personal assistant of a director of a well-known international company based in London while I am finishing my part-time degree in Modern Languages (English-German).","As you will see from my enclosed CV, I have worked the last three years as a personal assistant to the director of a well-known international company based in London while I am finishing my part-time degree in Modern Languages (English-German)."
"The source of this rule is easy to be identified especially when the parents are talking to their kids; it is hard to get exclusively the kid's attention, but the parents insistently repeat, ""look at me when I am talking to you"".","The source of this rule is easy to identify, especially when   parents are talking to their kids; it is hard to get the kid's attention exclusively, but the parents insistently repeat, ""look at me when I am talking to you""."
"Yours sincerely

Enric E.

 ","Yours faithfully

Enric E.

 "
"Now, in relation to the job tasks I would have to perform, I feel totally capable of doing all of them with enthusiasm and effectiveness.","Now, in relation to the job tasks I would have to perform, I feel totally capable of doing all of them with enthusiasm and effectiveness."
"To begin with I would like to say that doing a sport is very important to keep us thin and healthy.
","To begin with I would like to say that doing a sport is very important to keep us slim and healthy.
"
"She loved watching printer at work producing numerous results of psychology tests, which she had just passed.  ","She loved watching the printer at work producing numerous results of psychology tests, which she had just passed.  "
Hasselt is famous for its great shopping accommodation.,Hasselt is famous for its great shopping facilities.
"

","

"
"

","

"
"An inner electronic system would compose the whole house; it would include small devices of wave reception connected, in every side of house, to a gum headband whose function would be to identify the neuronal stimuli and to convert them on radiowaves.","An inner electronic system would   the whole house; it would include small devices of wave reception connected, on every side of the house, to a gum headband whose function would be to identify   neural stimuli and to convert them into radio waves."
That's why I think that waiting in queues is essential at any place.,That's why I think that waiting in queues is essential in any place.
"According to article "" Nonverbal Communication: Speaking without Words"", eye contact is important because ""insufficient eye contact can create communication barriers"".","According to the article "" Nonverbal Communication: Speaking without Words"", eye contact is important because ""insufficient eye contact can create communication barriers""."
"Sincerely, 
Regina","Sincerely, 
Regina"
"On the other hand, public transport is good value of money.","On the other hand, public transport is good value for money."
Michael was a person that was afraid of making any mistakes.,Michael was a person that was afraid of making any mistakes.
"Working in the kitchens means to do all about i.e cleaning and washing the floors.

","Working in the kitchens means doing   cleaning and washing the floors.

"
I will appreciate a lot to send me this information.,I would appreciate it a lot if you sent me this information.
I think it is a wrong way of thinking of sports.,I think it is a wrong way of thinking of sports.
When there isn’t any race you can go and try different racing cars or if you want you can go and race a bike on the race track.,"When there isn’t any race, you can go and try different racing cars or if you want you can go and race a bike on the race track."
"When she come closer he knelt on one knee and said: ""Will you marry me Anne?"".","When she got closer, he knelt on one knee and said: ""Will you marry me Anne?""."
In conclusion: The way of teaching is changing in the last few years all over Spain.,In conclusion: the way of teaching has been changing in the last few years all over Spain.
But it is  important to enjoy yourself.,But it is  important to enjoy yourself.
I am now a housewife.,I am now a housewife.
"However, public transport has also advantages.","However, public transport also has advantages."
"Furthermore, ticket prices have been increased rapidly in the last years.","Furthermore, ticket prices have been increased rapidly in recent years."
An example could be to have a free entrance in the Campidoglio museum if you buy a local newspaper.,An example could be to have  free entry to the Campidoglio museum if you buy a local newspaper.
Fast food has become part of everyday life.,Fast food has become part of everyday life.
"Heading towards Tolmin & after passing the famous Solkan Bridge, turn right and follow the road to the left.","Heading towards Tolmin & after passing the famous Solkan Bridge, turn right and follow the road to the left."
During my career I have gained extensive experience in academic writing.,During my career I have gained extensive experience in academic writing.
"I often buy second-hand old-fashioned jeans, skirts, trousers, jackets and shoes.","I often buy second-hand, old-fashioned jeans, skirts, trousers, jackets and shoes."
"We should think of our better future and try to behave environmentally friendly - try to avoid the huge pollution, which is by cars caused and don´t think only to our comfort.

 ","We should think of a better future and try to be environmentally friendly - try to avoid the huge amount of pollution  which is caused by cars and not think only of our comfort.

 "
"In order to make the series more interesting, the directors decided that each of the eight chosen ones would be in a different country.","In order to make the series more interesting, the directors decided that each of the eight chosen ones would be in a different country."
"By this action, athletes may improve their performance as well as quality of life.","By this action, athletes may improve their performance as well as their quality of life."
"The tool to communicate with foreigners.
","The tool to communicate with foreigners.
"
At the university I was part of the football team and we won the championship against one of the most athletic football team in our country.,"At   university, I was part of the football team and we won a championship against one of the most athletic football teams in our country."
"The weather was very good and we enjoyed having dinner barefoot, sat on the sand.","The weather was very good and we enjoyed having dinner barefoot, sitting on the sand."
"Possibility of the shops
All in all, the shops have a variety of goods, which can attract many tourists.","For example, nice running shoes or valuable books.

 
"
"I got ready very quickly so I didn’t do my morning exercises.
","I got ready very quickly so I didn’t do my morning exercises.
"
"Maybe my sister could sleep in the studio.
","Maybe my sister could sleep in the studio.
"
I had studied English at least two hours a day and longer.,I have studied English at least two hours a day and longer.
"Madrid is one of the most famous shopping cities in the world!


","Madrid is one of the most famous shopping cities in the world!


"
"If your parents are your friends, you would live in harmony with them.","If your parents were your friends, you would live in harmony with them."
"I recommend the Hungarian National Museum.

","I recommend the Hungarian National Museum.

"
"All in one - come and watch

 Have you ever been asked to make a decision and choose only one thing out of many that you really like?","All in one - come and watch

 Have you ever been asked to make a decision and choose only one thing out of many that you really like?"
I am writing to apply for the position of assistant professor of English with an emphasis in nineteenth-century American literature that you advertised in the February 20XX MLA Job Information List.,I am writing to apply for the position of assistant professor of English with an emphasis on nineteenth-century American literature that you advertised on the February 20XX MLA Job Information List.
I feel better when I travel over ground because I have fear of heights.,I feel better when I travel by land because I have a fear of heights.
He deserves to be famous because he has his own charity and helps to poor families with little children.,He deserves to be famous because he has his own charity and helps   poor families with little children.
"Maria couldn't hardly say anything, she was shocked by Robert.","Maria could hardly say anything, she was shocked by Robert."
and I can meet new people and travel around your city or your country.,and I can meet new people and travel around my city or my country.
"The synagogue is still being used as a place of prayer for the few remaining Jewish people in Cracow or for visitors from Israel or other parts of the world.
","The synagogue is still being used as a place of prayer for the few remaining Jewish people in Cracow or for visitors from Israel or other parts of the world.
"
Do you think you could join me?,Do you think you could join me?
"Well, to travel there in Brazil, you have to choose some places to go, because here we have a lot of beautiful places to visit and have fun.","Well, to travel   in Brazil, you have to choose some places to go, because here we have a lot of beautiful places to visit and have fun."
The waiters are very welcoming and informative so you feel very comfortable.,"The waiters are very welcoming and informative, so you feel very comfortable."
"Consequently, I believe physical development is the necessity in secondary school life and I was so grateful for providing me opportunities of extra-curricular activities. 
","Consequently, I believe physical development is a necessity in secondary school life and I was so grateful to  for providing me with opportunities to do extra-curricular activities. 
"
"Conclusion
To sum up, I suppose our town offers many interesting shops.","Conclusion
To sum up, I think our town offers many interesting shops."
"In addition, you won't have better opportunity to see it than this week, because just moment in Spain the festival's cinema is happening.","In addition, you won't have a better opportunity to see it than this week, because just now in Spain the cinema festival is taking place."
Its atmosphere is that of an old Buddhist temple situated on a mountain somewhere in Japan.,Its atmosphere is that of an old Buddhist temple situated on a mountain somewhere in Japan.
He was really confused because he thought he was dead.,He was really confused because he thought he was dead.
You might spend time and money to learn a language.,You might spend time and money   learning a language.
anyway I think you can recognize me by my old photo.,"Just in case, I'll be wearing that yellow hat you sent me last year."
"You don't know if you will ever have another chance."" 
","You don't know if you will ever have another chance."" 
"
"As a country, Taiwan has to stick to its ordinary path to create lovely and healthy environment to its civilians.","As a country, Taiwan has to stick to its ordinary path to create a lovely and healthy environment for its citizens."
The town is called white city.,The town is called White City.
I love my grandma.,I love my grandma.
Michael closed the door and knew at that moment he had made a mistake.,Michael closed the door and knew at that moment he had made a mistake.
"They fulfill all the functions that my friends has, and they fulfill them even better. 






","They fulfill all the functions that my friends have, and they fulfill them even better. 






"
"Anyway - if someone asked me for advice about basketball, I would say: don't give up if you aren't the best player on the world.","Anyway - if someone asked me for advice about basketball, I would say: don't give up if you aren't the best player in the world."
"It is a good place to spend your holiday and a perfect place to rest.

","It is a good place to spend your holiday and a perfect place to rest.

"
He remembered one of the awful dreams he used to have as a child.,He remembered one of the awful dreams he used to have as a child.
 I believe that my background is suitable for this position., I believe that my background is suitable for this position.
Training trener saied me that I'm really good.,The trainer said to me that I was really good.
"The yellow bags and the glass are processed at no cost, whatever the volume.","The yellow bags and the glass are processed at no cost, whatever the volume."
May be in the future homes will be self-cleaned and we need not clean up.,Maybe in the future homes will be self-cleaning and we won't need to clean up.
"On the other hand, doing the shopping is not only something enjoyable.","On the other hand, doing   shopping is not only something enjoyable."
"Moreover, cities' authorities encourage development of public transport because it creates employment, lessens impact on the environment and contributes to road safity.

","Moreover, cities' authorities encourage the development of public transport because it creates employment, lessens the impact on the environment and contributes to road safety.

"
"It was so nice to hear from you again!
","It was so nice to hear from you again!
"
"In my opinion, the real problem of this potentially useful tool is due to the fact that television is essentially a passive means of communication.","In my opinion, the real problem of this potentially useful tool is   the fact that television is essentially a passive means of communication."
"All students are different in terms of their cognitive styles, learning levels and achievements as well as motivation, personality, and pace of learning.","All students are different in terms of their cognitive styles, learning levels and achievements, as well as motivation, personality, and pace of learning."
Paco,Paco
It is a friendly restaurant with a nice menu.,It is a friendly restaurant with a nice menu.
A huge mirror in her bedroom made a child believe that one is able to travel through it anywhere.,A huge mirror in her bedroom made the child believe that one was able to travel through it anywhere.
Even the preist doesn's know how to help the unhappy familly.,Even the priest doesn't know how to help the unhappy familly.
It was one of the happiest day of her life.,It was one of the happiest days of her life.
"The most valuable thing is that there are so many supporters of different trends in all these areas. 
","The most valuable thing is that there are so many supporters of different trends in all these areas. 
"
"She noticed he was Robert, her first boyfriend, but he looked like an angel.","She noticed he was Robert, her first boyfriend, but he looked like an angel."
"To conclude, it is impossible to argue against the fact that people´s live will change in the next years but, these changes will help to improve our environment and our dairy life.

","To conclude, it is impossible to argue against the fact that people´s lives will change in the next years, but  these changes will help to improve our environment and our daily life.

"
I am not sure if I could afford it.,I am not sure if I could afford it.
"Let me know if you enjoy yout tour and take lots of photos ( I want to see them soon ) 
","Let me know if you enjoy your tour and take lots of photos (I want to see them soon) 
"
"I am convinced that it was one of the best days in my life.
","I am convinced that it was one of the best days of my life.
"
"I prefer to use the train or the tube, because they are punctual and because there are a signs where you can see the time less.","I prefer to use the train or the tube, because they are punctual and because there are    ."
"First of all, as we said before the people's lives have changed due two important elements which are the technological improvements and society changes.","First of all, as we said before,  people's lives have changed due to two important elements, which are  technological improvements and changes in society."
"If any one you would like to start practicing this dynamic and amazing sport, I would tell you to try it as soon as possible.","If any one you would like to start practicing this dynamic and amazing sport, I would tell you to try it as soon as possible."
"I do not blame anyone for this, because I know, this heart of mine seems to just fall in love a little too fast and easily.","I do not blame anyone for this, because I know, this heart of mine seems to just fall in love a little too fast and easily."
"They offer a wide range of choice from souvenir items such as pictures, jewellries to local specialities with a reasonble price to suit different interests of people.","They offer a wide range of choices, from souvenir items such as pictures and jewellery to local specialities, at a reasonable price to suit the interests of different people."
Its inhabitants move around exclusively on their own cars.,Its inhabitants get around exclusively in their own cars.
We  have a hugeexperience in organising seminars and camps for families with disabled children.,We  have   huge experience of organising seminars and camps for families with disabled children.
Especially I like to a first class seat in a plane.,I especially like to have a first class seat on a plane.
At last we decided to go to a restaurant near the school.,"In the end, we decided to go to a restaurant near the school."
My favourite sport is handball.,My favourite sport is handball.
After a few exciting hours of the party she said thank you to her friends and boyfriend and promised she will never forget what they did for her.,After a few exciting hours of the party she said thank you to her friends and boyfriend and promised she would never forget what they had done for her.
It will make you feel vulnerable but that is life.,"It will make you feel vulnerable, but that is life."
I'm happy for you!,I'm happy for you!
Please note that I am available to attend an interview.,Please note that I am available to attend an interview.
But everyone think in that way?,But does everyone think in that way?
"That is why, in fact, I am a big fan of George R.R. Martin as well.","That is why, in fact, I am a big fan of George R.R. Martin as well."
"This will help them realize their mistakes and thus, quit doing them.
","This will help them realize their mistakes and thus, quit making them.
"
"This means that people need to know how to protect themselves and military services is a good way for it. 




","This means that people need to know how to protect themselves and military services is a good way for them to learn. 




"
"I was just one more student from our college, with plenty of free time and looking for something else to do.","I was just one more student from our college, with plenty of free time and looking for something else to do."
I have worked   before for my local community   for 6 years while I was looking for my children too.,I have worked   before for my local community   for 6 years while I was looking after my children too.
"I leave here my personal contact information and wait for a positive answer from us.
","I enclose my personal contact information and hope for a positive answer from you.
"
"Hi Richard, 

Thank you for your money.","Hi Richard, 

Thank you for your money."
Michael closed the door and knew at that moment he had made a mistake.,Michael closed the door and knew at that moment he had made a mistake.
"Lorena


Dear Peter, 

Thanks for your letter asking about the wedding.","Lorena


Dear Peter, 

Thanks for your letter asking about the wedding."
People’s opinions on this question differ widely.,People’s opinions on this question differ widely.
Number five: it's not about the race at all.,Number five: it's not about the race at all.
I'm going to celebrate my birthday next week in my house.,I'm going to celebrate my birthday next week at my house.
"

","

"
